< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/14/2020 13:40'00,43965.56944,24.8,21.8,,,,,,
05/14/2020 14:00'00,43965.58333,26.8,21.8,,,,,,
05/14/2020 14:20'00,43965.59722,27.2,21.8,,,,,,
05/14/2020 14:40'00,43965.61111,26.2,21.8,,,,,,
05/14/2020 15:00'00,43965.625,27.2,21.8,,,,,,
05/14/2020 15:20'00,43965.63889,27.3,21.8,,,,,,
05/14/2020 15:40'00,43965.65278,27.2,21.8,,,,,,
05/14/2020 16:00'00,43965.66667,27.5,21.9,,,,,,
05/14/2020 16:20'00,43965.68056,27.1,21.9,,,,,,
05/14/2020 16:40'00,43965.69444,27.5,22,,,,,,
05/14/2020 17:00'00,43965.70833,28.3,22.2,,,,,,
05/14/2020 17:20'00,43965.72222,26.7,22.2,,,,,,
05/14/2020 17:40'00,43965.73611,23.3,22,,,,,,
05/14/2020 18:00'00,43965.75,22.8,21.9,,,,,,
05/14/2020 18:20'00,43965.76389,22.3,21.7,,,,,,
05/14/2020 18:40'00,43965.77778,20.8,21.5,,,,,,
05/14/2020 19:00'00,43965.79167,20.1,21.3,,,,,,
05/14/2020 19:20'00,43965.80556,19.3,21.1,,,,,,
05/14/2020 19:40'00,43965.81944,18.2,20.9,,,,,,
05/14/2020 20:00'00,43965.83333,18,20.7,,,,,,
05/14/2020 20:20'00,43965.84722,17.9,20.5,,,,,,
05/14/2020 20:40'00,43965.86111,17.8,20.5,,,,,,
05/14/2020 21:00'00,43965.875,17.6,20.4,,,,,,
05/14/2020 21:20'00,43965.88889,17.6,20.3,,,,,,
05/14/2020 21:40'00,43965.90278,17.4,20.2,,,,,,
05/14/2020 22:00'00,43965.91667,17.5,20.1,,,,,,
05/14/2020 22:20'00,43965.93056,17.1,20.1,,,,,,
05/14/2020 22:40'00,43965.94444,16.5,20,,,,,,
05/14/2020 23:00'00,43965.95833,16.2,19.8,,,,,,
05/14/2020 23:20'00,43965.97222,16.1,19.7,,,,,,
05/14/2020 23:40'00,43965.98611,16,19.6,,,,,,
05/15/2020 00:00'00,43966,15.8,19.5,,,,,,
05/15/2020 00:20'00,43966.01389,15.6,19.4,,,,,,
05/15/2020 00:40'00,43966.02778,15.3,19.3,,,,,,
05/15/2020 01:00'00,43966.04167,15.1,19.2,,,,,,
