date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z
2016/12/3,1,15.94951456,15.90679612,15.56116505,15.4,21,16.9,19.7,16.01319444,15.86597222,15.55625,23.3,16.8,20.2,15.34027778,15.71944444,14.8625,16.6,19.2
2016/12/4,1,16.66504854,15.80194175,15.75825243,15,24.1,17.3,20.9,15.41111111,15.78263889,15.17916667,21,16.9,19.7,16.01319444,15.86597222,15.55625,16.8,20.2
2016/12/5,1,17.10873786,16.02621359,16.29514563,14.9,24.8,17.8,21.6,15.80972222,15.69444444,15.17430556,24.1,17.3,20.9,15.41111111,15.78263889,15.17916667,16.9,19.7
2016/12/6,1,17.12621359,16.41262136,16.56407767,15.5,22.9,17.8,21,16.38055556,16.06527778,15.84513889,24.8,17.8,21.6,15.80972222,15.69444444,15.17430556,17.3,20.9
2016/12/7,1,16.21262136,16.19805825,15.74466019,15.6,23.6,17.4,21.8,16.38958333,16.37430556,16.03541667,22.9,17.8,21,16.38055556,16.06527778,15.84513889,17.8,21.6
2016/12/8,1,16.25631068,15.95242718,15.71359223,15.4,22.6,17,20.8,15.70277778,16.06527778,15.42986111,23.6,17.4,21.8,16.38958333,16.37430556,16.03541667,17.8,21
2016/12/9,1,15.91067961,15.56699029,15.13592233,15,21.7,16.8,19,15.49930556,15.78263889,15.19375,22.6,17,20.8,15.70277778,16.06527778,15.42986111,17.4,21.8
2016/12/10,1,16.64368932,15.45728155,15.60970874,14.7,22.7,16.8,20.1,15.16875,15.43055556,14.68333333,21.7,16.8,19,15.49930556,15.78263889,15.19375,17,20.8
2016/12/11,1,16.17572816,15.75339806,15.60679612,15.2,22,17,19.8,15.96666667,15.45,15.22847222,22.7,16.8,20.1,15.16875,15.43055556,14.68333333,16.8,19
2016/12/12,1,16.16019417,15.72427184,15.6815534,15.1,21.9,16.9,20.3,15.61388889,15.65347222,15.28611111,22,17,19.8,15.96666667,15.45,15.22847222,16.8,20.1
2016/12/13,1,15.9407767,15.6592233,15.59902913,15,21.6,16.7,19.2,15.64375,15.63125,15.36666667,21.9,16.9,20.3,15.61388889,15.65347222,15.28611111,17,19.8
2016/12/14,1,14.90485437,15.36504854,14.5592233,15,17.8,16,16.9,15.39236111,15.58125,15.16527778,21.6,16.7,19.2,15.64375,15.63125,15.36666667,16.9,20.3
2016/12/15,1,15.96504854,15.56796117,15.2368932,15.2,22.3,16.6,19.4,14.67013889,15.34097222,14.40833333,17.8,16,16.9,15.39236111,15.58125,15.16527778,16.7,19.2
2016/12/16,1,15.54174757,15.39126214,15.11456311,15.1,19,16,17.7,15.56041667,15.49166667,15.06180556,22.3,16.6,19.4,14.67013889,15.34097222,14.40833333,16,16.9
2016/12/17,1,15.69902913,15.38446602,15.1184466,14.8,21,16.5,19.1,15.09791667,15.29930556,14.83055556,19,16,17.7,15.56041667,15.49166667,15.06180556,16.6,19.4
2016/12/18,1,15.58349515,15.01456311,14.86019417,14.4,21.7,16.2,19.3,14.98611111,15.28194444,14.66388889,21,16.5,19.1,15.09791667,15.29930556,14.83055556,16,17.7
2016/12/19,1,16.66504854,15.5592233,16.05436893,14.5,23.8,17.5,21.8,14.97847222,14.96319444,14.54513889,21.7,16.2,19.3,14.98611111,15.28194444,14.66388889,16.5,19.1
