date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,H_min_x,ST_max_x,T60_max_x,housa_x,T20_mean_y,T60_mean_y,H_mean_y,H_min_y,ST_max_y,T60_max_y,housa_y,T20_mean_z,H_mean_z,H_min_z,T60_max_z,housa_z
2018-08-25,0,28.69513888888884,28.95000000000001,28.607638888888875,92.32638888888887,77.0,30.1,34.0,1.7312429127451343,30.334722222222208,29.5875,87.95833333333331,74.0,31.8,37.7,2.8483988514497467,32.150694444444454,83.84027777777777,58.0,38.1,4.031999854674895
2018-08-26,0,29.51180555555554,28.856944444444427,28.94166666666668,90.63194444444444,77.0,30.3,33.3,2.147981591369228,28.69513888888884,28.607638888888875,92.32638888888887,77.0,30.1,34.0,1.7312429127451343,30.334722222222208,87.95833333333331,74.0,37.7,2.8483988514497467
2018-08-27,0,30.927083333333307,29.29513888888888,29.820138888888888,84.8125,62.0,31.7,36.2,3.6329607694331534,29.51180555555554,28.94166666666668,90.63194444444444,77.0,30.3,33.3,2.147981591369228,28.69513888888884,92.32638888888887,77.0,34.0,1.7312429127451343
2018-08-28,0,30.774999999999977,29.13541666666667,29.539583333333308,82.36805555555556,63.0,31.2,35.6,4.161140606592316,30.927083333333307,29.820138888888888,84.8125,62.0,31.7,36.2,3.6329607694331534,29.51180555555554,90.63194444444444,77.0,33.3,2.147981591369228
2018-08-29,1,29.62013888888889,28.78125000000001,28.75277777777779,85.8263888888889,66.0,30.5,35.2,3.22026956998478,30.774999999999977,29.539583333333308,82.36805555555556,63.0,31.2,35.6,4.161140606592316,30.927083333333307,84.8125,62.0,36.2,3.6329607694331534
2018-08-30,1,30.32222222222222,29.00000000000001,29.27986111111113,84.4861111111111,66.0,30.6,34.6,3.6157293600914198,29.62013888888889,28.75277777777779,85.8263888888889,66.0,30.5,35.2,3.22026956998478,30.774999999999977,82.36805555555556,63.0,35.6,4.161140606592316
2018-08-31,1,29.331944444444442,28.770833333333314,28.690277777777762,90.27777777777777,64.0,30.3,32.8,2.2022302811189047,30.32222222222222,29.27986111111113,84.4861111111111,66.0,30.6,34.6,3.6157293600914198,29.62013888888889,85.8263888888889,66.0,35.2,3.22026956998478
2018-09-01,1,30.839583333333344,29.09513888888889,29.57708333333332,86.16666666666669,63.0,31.5,35.7,3.2705684328507347,29.331944444444442,28.690277777777762,90.27777777777777,64.0,30.3,32.8,2.2022302811189047,30.32222222222222,84.4861111111111,66.0,34.6,3.6157293600914198
2018-09-02,1,26.85069444444445,27.634027777777767,26.71944444444446,89.4375,80.0,28.4,30.2,2.1733109437504083,30.839583333333344,29.57708333333332,86.16666666666669,63.0,31.5,35.7,3.2705684328507347,29.331944444444442,90.27777777777777,64.0,32.8,2.2022302811189047
2018-09-03,1,28.10694444444445,27.509027777777767,27.26805555555555,87.19444444444444,64.0,29.6,33.9,2.7066365958181025,26.85069444444445,26.71944444444446,89.4375,80.0,28.4,30.2,2.1733109437504083,30.839583333333344,86.16666666666669,63.0,35.7,3.2705684328507347
2018-09-04,1,29.168055555555558,27.730555555555572,28.09791666666666,84.06944444444444,65.0,30.0,35.6,3.506237229624744,28.10694444444445,27.26805555555555,87.19444444444444,64.0,29.6,33.9,2.7066365958181025,26.85069444444445,89.4375,80.0,30.2,2.1733109437504083
2018-09-05,1,27.07291666666668,27.610416666666694,27.225000000000005,95.26388888888887,88.0,28.8,31.4,0.9989382140972946,29.168055555555558,28.09791666666666,84.06944444444444,65.0,30.0,35.6,3.506237229624744,28.10694444444445,87.19444444444444,64.0,33.9,2.7066365958181025
2018-09-06,1,28.437500000000004,27.90208333333333,28.065972222222253,87.88194444444444,68.0,29.7,34.2,2.662983599379371,27.07291666666668,27.225000000000005,95.26388888888887,88.0,28.8,31.4,0.9989382140972946,29.168055555555558,84.06944444444444,65.0,35.6,3.506237229624744
2018-09-07,1,27.07083333333333,27.1125,26.773611111111112,87.3125,73.0,28.4,32.0,2.617495972705927,28.437500000000004,28.065972222222253,87.88194444444444,68.0,29.7,34.2,2.662983599379371,27.07291666666668,95.26388888888887,88.0,31.4,0.9989382140972946
2018-09-08,1,26.919444444444466,27.100000000000005,26.99375,90.22916666666669,81.0,28.0,30.0,2.0376540610615974,27.07083333333333,26.773611111111112,87.3125,73.0,28.4,32.0,2.617495972705927,28.437500000000004,87.88194444444444,68.0,34.2,2.662983599379371
2018-09-09,1,27.67569444444446,27.50277777777778,27.61458333333333,90.22222222222223,74.0,28.6,32.2,2.1019594654719604,26.919444444444466,26.99375,90.22916666666669,81.0,28.0,30.0,2.0376540610615974,27.07083333333333,87.3125,73.0,32.0,2.617495972705927
2018-09-10,1,28.494444444444426,27.814583333333346,28.175,88.22222222222223,67.0,29.8,34.8,2.6019652909749507,27.67569444444446,27.61458333333333,90.22222222222223,74.0,28.6,32.2,2.1019594654719604,26.919444444444466,90.22916666666669,81.0,30.0,2.0376540610615974
