date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-08-21,0,82.48263889,54.6,37.5,37.6,3.5962206781227724,70.52152778,33.9,38.3,39.8,91.8,5.931646274854756,65.82083333,19.7,19.7,40.5,37.0,40.6,86.4,6.900604679482773,37.0
2018-08-22,0,83.57083333,52.0,41.0,43.5,4.075350345809387,82.48263889,54.6,37.5,37.6,100.0,3.5962206781227724,70.52152778,19.4,19.5,33.9,38.3,39.8,91.8,5.931646274854756,38.0
2018-08-23,0,80.01527778,46.0,43.8,43.3,5.178411746871318,83.57083333,52.0,41.0,43.5,100.0,4.075350345809387,82.48263889,20.7,20.9,54.6,37.5,37.6,100.0,3.5962206781227724,39.0
2018-08-24,0,84.72847222,58.8,42.3,40.4,3.677518352208647,80.01527778,46.0,43.8,43.3,99.7,5.178411746871318,83.57083333,25.4,25.5,52.0,41.0,43.5,100.0,4.075350345809387,40.0
2018-08-25,0,90.26875,67.0,35.8,36.5,2.1992380627622814,84.72847222,58.8,42.3,40.4,99.2,3.677518352208647,80.01527778,26.2,26.1,46.0,43.8,43.3,99.7,5.178411746871318,41.0
2018-08-26,0,88.66180556,67.3,39.0,36.7,2.6207351582985607,90.26875,67.0,35.8,36.5,100.0,2.1992380627622814,84.72847222,26.6,26.2,58.8,42.3,40.4,99.2,3.677518352208647,42.0
2018-08-27,1,82.70833333,58.5,41.0,39.6,4.288443933107485,88.66180556,67.3,39.0,36.7,99.7,2.6207351582985607,90.26875,26.9,26.9,67.0,35.8,36.5,100.0,2.1992380627622814,43.0
2018-08-28,1,81.16597222,54.3,41.8,39.8,4.558591158199987,82.70833333,58.5,41.0,39.6,100.0,4.288443933107485,88.66180556,25.8,26.0,67.3,39.0,36.7,99.7,2.6207351582985607,44.0
2018-08-29,1,85.25277778,62.3,41.5,37.2,3.364137752344365,81.16597222,54.3,41.8,39.8,99.4,4.558591158199987,82.70833333,24.2,24.4,58.5,41.0,39.6,100.0,4.288443933107485,45.0
2018-08-30,1,83.85277778,61.6,40.9,37.9,3.795097899728997,85.25277778,62.3,41.5,37.2,99.1,3.364137752344365,81.16597222,23.6,23.8,54.3,41.8,39.8,99.4,4.558591158199987,46.0
2018-08-31,1,90.18194444,66.9,38.0,33.8,2.1987012488211106,83.85277778,61.6,40.9,37.9,98.9,3.795097899728997,85.25277778,23.8,24.1,62.3,41.5,37.2,99.1,3.364137752344365,47.0
2018-09-01,1,84.99861111,55.6,43.1,39.2,3.5677708104651304,90.18194444,66.9,38.0,33.8,100.0,2.1987012488211106,83.85277778,24.6,24.7,61.6,40.9,37.9,98.9,3.795097899728997,48.0
2018-09-02,1,89.43055556,73.9,36.6,31.1,2.131293592787511,84.99861111,55.6,43.1,39.2,100.0,3.5677708104651304,90.18194444,24.6,24.8,66.9,38.0,33.8,100.0,2.1987012488211106,49.0
2018-09-03,1,87.51527778,70.5,41.0,35.2,2.6189888704339963,89.43055556,73.9,36.6,31.1,98.0,2.131293592787511,84.99861111,24.4,24.6,55.6,43.1,39.2,100.0,3.5677708104651304,50.0
2018-09-04,1,83.73680556,59.4,42.3,38.2,3.5839250159696023,87.51527778,70.5,41.0,35.2,97.5,2.6189888704339963,89.43055556,23.8,24.2,73.9,36.6,31.1,98.0,2.131293592787511,51.0
2018-09-05,1,94.45694444,81.7,35.6,32.1,1.1495375827695444,83.73680556,59.4,42.3,38.2,96.1,3.5839250159696023,87.51527778,23.2,23.6,70.5,41.0,35.2,97.5,2.6189888704339963,52.0
2018-09-06,1,86.79722222,60.4,40.1,36.1,2.903413928092029,94.45694444,81.7,35.6,32.1,99.4,1.1495375827695444,83.73680556,22.7,23.2,59.4,42.3,38.2,96.1,3.5839250159696023,53.0
2018-09-07,1,86.79097222,69.1,35.2,32.7,2.7009398679853445,86.79722222,60.4,40.1,36.1,100.0,2.903413928092029,94.45694444,24.1,24.6,81.7,35.6,32.1,99.4,1.1495375827695444,54.0
2018-09-08,1,89.81736111,80.8,31.9,30.5,2.0975103793512218,86.79097222,69.1,35.2,32.7,97.4,2.7009398679853445,86.79722222,23.9,24.5,60.4,40.1,36.1,100.0,2.903413928092029,55.0
2018-09-09,1,89.67916667,72.5,34.6,33.1,2.2003466677388457,89.81736111,80.8,31.9,30.5,97.5,2.0975103793512218,86.79097222,22.1,22.6,69.1,35.2,32.7,97.4,2.7009398679853445,56.0
