Date/Time,T20,ST
2017/6/2 14:20,29.3,26.7
2017/6/2 14:30,29,26.4
2017/6/2 14:40,28.5,26.1
2017/6/2 14:50,28.1,25.9
2017/6/2 15:00,27.6,25.7
2017/6/2 15:10,27.1,25.4
2017/6/2 15:20,27.4,25.2
2017/6/2 15:30,27.5,25.1
2017/6/2 15:40,27.4,25
2017/6/2 15:50,26.4,24.9
2017/6/2 16:00,27.1,24.7
2017/6/2 16:10,26.8,24.6
2017/6/2 16:20,26.1,24.6
2017/6/2 16:30,25.5,24.5
2017/6/2 16:40,25.3,24.4
2017/6/2 16:50,25,24.3
2017/6/2 17:00,24.8,24.1
2017/6/2 17:10,24.3,23.9
2017/6/2 17:20,24.2,23.8
2017/6/2 17:30,23.6,23.6
2017/6/2 17:40,23.1,23.4
2017/6/2 17:50,22.3,23.2
2017/6/2 18:00,21.5,23.1
2017/6/2 18:10,21,22.9
2017/6/2 18:20,20.7,22.7
2017/6/2 18:30,20.3,22.5
2017/6/2 18:40,20.1,22.4
2017/6/2 18:50,19.7,22.2
2017/6/2 19:00,19.4,22.1
2017/6/2 19:10,19.2,22
2017/6/2 19:20,19,21.8
2017/6/2 19:30,18.7,21.7
2017/6/2 19:40,18.7,21.6
2017/6/2 19:50,18.4,21.5
2017/6/2 20:00,18.2,21.4
2017/6/2 20:10,18.1,21.3
2017/6/2 20:20,17.9,21.2
2017/6/2 20:30,18,21.1
2017/6/2 20:40,17.9,21
2017/6/2 20:50,17.7,20.9
2017/6/2 21:00,17.4,20.9
2017/6/2 21:10,17.4,20.8
2017/6/2 21:20,17.2,20.7
2017/6/2 21:30,17,20.6
2017/6/2 21:40,17.1,20.6
2017/6/2 21:50,17,20.5
2017/6/2 22:00,17.1,20.4
2017/6/2 22:10,16.7,20.4
2017/6/2 22:20,16.8,20.3
2017/6/2 22:30,16.8,20.2
2017/6/2 22:40,16.4,20.2
2017/6/2 22:50,16.4,20.1
2017/6/2 23:00,16.3,20.1
2017/6/2 23:10,16.3,20
2017/6/2 23:20,16.3,20
2017/6/2 23:30,16.3,19.9
2017/6/2 23:40,16.2,19.9
2017/6/2 23:50,16.3,19.8
2017/6/3 0:00,16.2,19.8
2017/6/3 0:10,15.9,19.7
2017/6/3 0:20,15.8,19.6
2017/6/3 0:30,15.8,19.6
2017/6/3 0:40,15.8,19.5
2017/6/3 0:50,15.8,19.5
2017/6/3 1:00,16.1,19.4
2017/6/3 1:10,15.8,19.4
2017/6/3 1:20,15.7,19.3
2017/6/3 1:30,15.7,19.3
2017/6/3 1:40,15.8,19.2
2017/6/3 1:50,15.7,19.2
2017/6/3 2:00,15.6,19.1
2017/6/3 2:10,15.4,19.1
2017/6/3 2:20,15.3,19
2017/6/3 2:30,15.3,19
2017/6/3 2:40,15.1,18.9
2017/6/3 2:50,15,18.9
2017/6/3 3:00,14.7,18.8
2017/6/3 3:10,14.4,18.7
2017/6/3 3:20,14.5,18.7
2017/6/3 3:30,14.8,18.6
2017/6/3 3:40,15,18.6
2017/6/3 3:50,15,18.6
2017/6/3 4:00,15,18.6
2017/6/3 4:10,14.9,18.5
2017/6/3 4:20,14.8,18.5
2017/6/3 4:30,14.8,18.5
2017/6/3 4:40,14.8,18.4
2017/6/3 4:50,15,18.4
2017/6/3 5:00,15.2,18.4
2017/6/3 5:10,15.3,18.4
2017/6/3 5:20,15.4,18.4
2017/6/3 5:30,15.5,18.4
2017/6/3 5:40,15.7,18.4
2017/6/3 5:50,15.9,18.4
2017/6/3 6:00,16.2,18.4
2017/6/3 6:10,16.6,18.5
2017/6/3 6:20,17.1,18.5
2017/6/3 6:30,17.2,18.5
2017/6/3 6:40,18,18.6
2017/6/3 6:50,18.3,18.7
2017/6/3 7:00,18.7,18.8
2017/6/3 7:10,19.6,18.9
2017/6/3 7:20,21.6,19
2017/6/3 7:30,22.7,19.2
2017/6/3 7:40,23,19.6
2017/6/3 7:50,23,19.9
2017/6/3 8:00,22.2,20.1
2017/6/3 8:10,23.2,20.5
2017/6/3 8:20,24.5,20.8
2017/6/3 8:30,24.1,21.2
2017/6/3 8:40,24,20.8
2017/6/3 8:50,24.9,20.8
2017/6/3 9:00,23.9,20.9
2017/6/3 9:10,25.2,21
2017/6/3 9:20,25.9,21.2
2017/6/3 9:30,25.9,21.4
2017/6/3 9:40,25.6,21.6
2017/6/3 9:50,24.7,21.7
2017/6/3 10:00,24.3,21.8
2017/6/3 10:10,27.7,22.1
2017/6/3 10:20,28,22.6
2017/6/3 10:30,27.7,23.1
2017/6/3 10:40,29,23.6
2017/6/3 10:50,28.6,24
2017/6/3 11:00,27.7,24.2
2017/6/3 11:10,28.9,24.5
2017/6/3 11:20,29.4,24.7
2017/6/3 11:30,29.6,24.9
2017/6/3 11:40,28.5,25.2
2017/6/3 11:50,28,25.2
2017/6/3 12:00,28,25.3
2017/6/3 12:10,28.8,25.5
2017/6/3 12:20,31.1,25.7
2017/6/3 12:30,30.6,25.8
2017/6/3 12:40,28.8,25.8
2017/6/3 12:50,29.1,25.8
2017/6/3 13:00,30.4,25.9
2017/6/3 13:10,29.8,26.1
2017/6/3 13:20,30.7,26.4
2017/6/3 13:30,30.5,26.5
2017/6/3 13:40,29.9,26.6
2017/6/3 13:50,30.1,26.6
2017/6/3 14:00,31.2,26.6
2017/6/3 14:10,30.8,26.4
2017/6/3 14:20,30,26.1
2017/6/3 14:30,30.9,25.9
2017/6/3 14:40,30.6,25.7
2017/6/3 14:50,29.7,25.5
2017/6/3 15:00,29.4,25.4
2017/6/3 15:10,28.8,25.3
2017/6/3 15:20,28.6,25.1
2017/6/3 15:30,28.6,25
2017/6/3 15:40,28.6,25
2017/6/3 15:50,28.2,24.9
2017/6/3 16:00,28.2,24.9
2017/6/3 16:10,27.6,24.8
2017/6/3 16:20,26.9,24.8
2017/6/3 16:30,26.3,24.7
2017/6/3 16:40,25.1,24.5
2017/6/3 16:50,26.3,24.4
2017/6/3 17:00,26.2,24.4
2017/6/3 17:10,26,24.4
2017/6/3 17:20,25.5,24.3
2017/6/3 17:30,25,24.1
2017/6/3 17:40,24.8,24
2017/6/3 17:50,23.4,23.9
2017/6/3 18:00,22.9,23.7
2017/6/3 18:10,22.4,23.5
2017/6/3 18:20,22.1,23.4
2017/6/3 18:30,21.7,23.2
2017/6/3 18:40,21.3,23
2017/6/3 18:50,20.9,22.9
2017/6/3 19:00,20.5,22.7
2017/6/3 19:10,20.1,22.5
2017/6/3 19:20,19.9,22.4
2017/6/3 19:30,19.8,22.2
2017/6/3 19:40,19.7,22.1
2017/6/3 19:50,19.6,22
2017/6/3 20:00,19.3,21.8
2017/6/3 20:10,19.2,21.7
2017/6/3 20:20,19.1,21.6
2017/6/3 20:30,19,21.5
2017/6/3 20:40,18.9,21.4
2017/6/3 20:50,18.7,21.3
2017/6/3 21:00,18.9,21.2
2017/6/3 21:10,18.5,21.2
2017/6/3 21:20,18.6,21.1
2017/6/3 21:30,18.5,21
2017/6/3 21:40,18.5,20.9
2017/6/3 21:50,18.3,20.9
2017/6/3 22:00,18.2,20.8
2017/6/3 22:10,18,20.7
2017/6/3 22:20,17.9,20.6
2017/6/3 22:30,17.7,20.6
2017/6/3 22:40,17.5,20.5
2017/6/3 22:50,17.4,20.4
2017/6/3 23:00,17.4,20.3
2017/6/3 23:10,17.6,20.2
2017/6/3 23:20,17.5,20.2
2017/6/3 23:30,17.5,20.1
2017/6/3 23:40,17.2,20
2017/6/3 23:50,17.2,20
2017/6/4 0:00,17,19.9
2017/6/4 0:10,16.9,19.8
2017/6/4 0:20,16.3,19.8
2017/6/4 0:30,16.1,19.7
2017/6/4 0:40,15.7,19.6
2017/6/4 0:50,15.6,19.5
2017/6/4 1:00,15.6,19.4
2017/6/4 1:10,15.4,19.4
2017/6/4 1:20,15.5,19.3
2017/6/4 1:30,15.8,19.2
2017/6/4 1:40,16,19.2
2017/6/4 1:50,16.1,19.2
2017/6/4 2:00,16.2,19.1
2017/6/4 2:10,16.3,19.1
2017/6/4 2:20,16.3,19.1
2017/6/4 2:30,16,19
2017/6/4 2:40,15.8,19
2017/6/4 2:50,15.8,18.9
2017/6/4 3:00,15.9,18.9
2017/6/4 3:10,15.8,18.9
2017/6/4 3:20,15.7,18.8
2017/6/4 3:30,15.6,18.8
2017/6/4 3:40,15.6,18.8
2017/6/4 3:50,15.5,18.7
2017/6/4 4:00,15.3,18.7
2017/6/4 4:10,15.2,18.6
2017/6/4 4:20,15.1,18.6
2017/6/4 4:30,15.1,18.5
2017/6/4 4:40,14.9,18.5
2017/6/4 4:50,15.1,18.4
2017/6/4 5:00,15.2,18.4
2017/6/4 5:10,15.4,18.4
2017/6/4 5:20,15.5,18.4
2017/6/4 5:30,15.7,18.4
2017/6/4 5:40,15.9,18.4
2017/6/4 5:50,16.2,18.4
2017/6/4 6:00,16.5,18.4
2017/6/4 6:10,16.8,18.4
2017/6/4 6:20,17.3,18.5
2017/6/4 6:30,17.6,18.5
2017/6/4 6:40,18,18.6
